Distributor,Part Number,Part Name,Link
McMaster-Carr,7740K111,Enclosure,https://www.mcmaster.com/#7740k111/=1djih1u
McMaster-Carr,1421T184,Steel Plate,https://www.mcmaster.com/#1421t184/=1djijx2
McMaster-Carr,90910A716,Enclosure-to-steel plate screws (25 pack),https://www.mcmaster.com/#90910a716/=1djjxsx
McMaster-Carr,96278A005,Enclosure-to-steel plate nuts (100 pack),https://www.mcmaster.com/#96278a005/=1djk02n
Adafruit,500,Solar Panel,https://www.adafruit.com/product/500
Voltaic,N/A,Female 3.5x1.1mm - Extension with Leads (solar panel wire extension),https://voltaicsystems.com/extension-with-exposed-leads/
Amazon,TR88302 ,"TR Industrial TR88302 Multi-Purpose Cable Tie (100 Piece), 8"", Black",https://www.amazon.com/TR-Industrial-TR88302-Multi-Purpose-Cable/dp/B01018DC96
McMaster-Carr,5011T141,"Worm-Drive Clamp for Firm Hose and Tube 316 Stainless Steel, 5/16"" Band Width, 7/32""- 5/8"" Clamp ID Range",https://www.mcmaster.com/5011t141
McMaster-Carr,7310K11,Cable glands (for solar wire),https://www.mcmaster.com/#7310k11/=1djiiom
Amazon,178D ,Lock,https://www.amazon.com/Master-Lock-Set-Your-Own-Combination-Die-Cast/dp/B0044UKD9A/ref=sr_1_7?ie=UTF8&qid=1532973889&sr=8-7&keywords=set+your+own+master+lock
Custom,N/A,Microcontroller,
Digikey,A26242-ND,Jumpers,https://www.digikey.com/products/en?keywords=A26242-ND
McMaster-Carr,91735A192,Enclosure to Board screws (50 pack),https://www.mcmaster.com/#91735a192/=1dvcuoa
Digikey,N/A,Cell Module,https://www.digikey.com/product-detail/en/nimbelink-llc/NL-SW-HSPA/1477-1042-ND/6049659
Twilio,N/A,SIM cards,https://www.twilio.com/wireless/pricing
Symmetry Electronics,FQTN35144-UF-10,Antennae,https://www.semiconductorstore.com/cart/pc/viewPrd.asp?idproduct=42826
Digikey,1475-1007-ND,GPS Unit,https://www.digikey.com/short/p7rfm1
McMaster-Carr,94985K812,Velcro,https://www.mcmaster.com/#94985K812
Tenergy,31059,Battery,http://www.tenergy.com/31059
Digikey,277-5721-ND,5-Wire Terminal Block Plug (3.5 mm),https://www.digikey.com/products/en?keywords=277-5721-ND
Digikey,277-2417-ND,2-Wire Terminal Block Plug (3.5 mm),https://www.digikey.com/product-detail/en/phoenix-contact/1840366/277-2417-ND/349178
McMaster,74965K63,"2:1 0.25"" diameter heat shrink tubing (4 ft)",https://www.mcmaster.com/74965K63
Mouser,602-3050-100-03,Red Wire - 100ft,https://www.mouser.com/ProductDetail/Alpha-Wire/3050-RD005?qs=sGAEpiMZZMtW9UaYX5J1tM4kpfBO860L9v%2f3ZB7f%2f88%3d
Mouser,602-3050-100-01,White Wire - 100ft,https://www.mouser.com/ProductDetail/Alpha-Wire/3050-WH005?qs=sGAEpiMZZMtW9UaYX5J1tM4kpfBO860LNi9BROHzFW4%3d
Mouser,602-3050-100-02,Black Wire - 100ft,https://www.mouser.com/ProductDetail/Alpha-Wire/3050-BK005?qs=sGAEpiMZZMtW9UaYX5J1tM4kpfBO860LCrBFdBMIySg%3d
Digikey,PWR221T-30-1500F-ND,150 Ohm 1% Resistor,https://www.digikey.com/short/jbm4qf
Pololu,4016,12V Step-Up Voltage Regulator U3V40F12,https://www.pololu.com/product/4016/specs
Stevens,93720-110,Pressure Transducer - SDX (0-10 ft),https://www.stevenswater.com/products/sdx/
Stevens,44049,Transducer 15ft cable/ sensor,https://www.stevenswater.com/products/sdx/
Stevens,93030-001,"SDX Desiccant Cartridge, for SDX, 10 cm (3.9 in) length",https://stevenswater.com/products/sdx/
McMaster,48855K26,Thick-Wall Unthreaded PVC Pipe for Water ( 5ft 2in pipe),https://www.mcmaster.com/48855k26
McMaster,4492K121,Cut-to-Size Suction Strainer with Backflow-Prevention Valve with Backflow-Prevention Valve,https://www.mcmaster.com/4492k121
McMaster,7945K35,Rigid PVC Conduit 1-1/2 Trade Size Female x 1-1/2 NPSM Male Adapter,https://www.mcmaster.com/7945k35
McMaster,4596K829,"Thick-Wall PVC Pipe Fitting Bushing Adapter, 1-1/2 Socket Male x 1-1/4 NPT Female",https://www.mcmaster.com/4596k829
McMaster,7877N108,"Locknut for Plastic Conduit Fittings 1-1/2 NPT, Gray",https://www.mcmaster.com/7877N108/
McMaster,5308T192,"Oil-Resistant Hard Buna-N O-Ring 3/32 Fractional Width, Dash Number 134",https://www.mcmaster.com/5308t192
McMaster,48855K25,Thick-Wall Unthreaded PVC Pipe for Water ( 5ft 1.5in pipe),https://www.mcmaster.com/48855k26